id_municipio;municipio
941;BANDEIRA DO SUL
942;GUAXUPE
943;PATO BRANCO
944;MUTUIPE
945;JARDINOPOLIS
946;POTIRAGUA
947;GUANAMBI
948;ABAIRA
949;GALILEIA
950;ALPERCATA
951;VIAMAO
952;SANTANA DO LIVRAMENTO
953;PINHEIROS
954;NOVO HORIZONTE
955;MUCUGE
956;FRUTAL
957;GOVERNADOR NUNES FREIRE
958;SAO SEBASTIAO DA BOA VISTA
959;ENTRE FOLHAS
960;VILA PAVAO
961;CANDOI
962;ARACRUZ
963;NOVA OLINDA DO MARANHAO
964;ESTANCIA VELHA
965;LOANDA
966;SANTA ISABEL DO IVAI
967;PARATI
968;VENTUROSA
969;JUNQUEIRO
970;ARAGUARI
971;CARAGUATATUBA
972;ITANHAEM
973;PALMITAL
974;NOVA VENEZA
975;ANICUNS
976;REDENTORA
977;RIBEIRAOZINHO
978;DIVINOLANDIA
979;ITOBI
980;SAO SEBASTIAO DA GRAMA
981;CURACA
982;DORMENTES
983;POSSE
984;SIMOLANDIA
985;VIRGOLANDIA
986;CIANORTE
987;JUSSARA
988;TRES MARIAS
989;QUITERIANOPOLIS
990;BOCA DA MATA
991;CURUCA
992;BAIAO
993;JARAGUA DO SUL
994;ITAQUARA
995;BENEVIDES
996;PICUI
997;SERRA BRANCA
998;ALAGOA NOVA
999;COREMAS
1000;SANTA CECILIA
1001;RIACHAO DO BACAMARTE
1002;SOSSEGO
1003;ALAGOINHA
1004;ITAPEMA
1005;SAO FRANCISCO DE ASSIS
1006;CRUZEIRO
1007;POTIM
1008;APARECIDA
1009;LORENA
1010;ITAQUI
1011;SAO GONCALO DO AMARANTE
1012;SANTO ANTONIO DO PLANALTO
1013;HORIZONTE
1014;BARRINHA
1015;ITAPOROROCA
1016;SIMONESIA
1017;PEDRALVA
1018;PIRANGA
1019;ISAIAS COELHO
1020;AMPERE
1021;BOM JESUS DO ITABAPOANA
1022;BARBOSA FERRAZ
1023;JOAO NEIVA
1024;LORETO
1025;IRACEMA
1026;AQUIRAZ
1027;MARACANAU
1028;UNIAO DOS PALMARES
1029;SAO BENTO DO SUL
1030;MANGA
1031;AIMORES
1032;ACAJUTIBA
1033;FEIJO
1034;MIGUEL PEREIRA
1035;BARRA MANSA
1036;VASSOURAS
1037;SANTANA DO ACARAU
1038;APUIARES
1039;ITAITINGA
1040;NOVO ORIENTE
1041;SAO PEDRO DO PIAUI
1042;MORRO DO CHAPEU DO PIAUI
1043;SAO RAIMUNDO NONATO
1044;BARRA D ALCANTARA
1045;CARMO DO RIO CLARO
1046;SAO FRANCISCO DO CONDE
1047;MONTE APRAZIVEL
1048;MONTE CARMELO
1049;JULIO DE CASTILHOS
1050;GUZOLANDIA
1051;LIMEIRA DO OESTE
1052;PARANAIBA
1053;ITAPECERICA
1054;ALVORADA DO NORTE
1055;CAMPESTRE
1056;LARANJEIRAS DO SUL
1057;LAMBARI
1058;ITAGUAJE
1059;NOVA LIMA
1060;RAPOSOS
1061;MARUMBI
1062;MARABA
1063;IRITUIA
1064;LIMOEIRO DO AJURU
1065;VIGIA
1066;AFRANIO
1067;GUARANIACU
1068;VALENCA DO PIAUI
1069;DUARTINA
1070;FORMOSA
1071;SAO SEPE
1072;SEGREDO
1073;TUCANO
1074;TRINDADE
1075;LARANJAL DO JARI
1076;QUATIS
1077;ITUMBIARA
1078;CAMPO ALEGRE
1079;SAO GERALDO
1080;QUATRO BARRAS
1081;"""TANQUE D""""ARCA"""
1082;NOVA LARANJEIRAS
1083;SALTO DO LONTRA
1084;PIQUETE
1085;FAZENDA VILANOVA
1086;AREAL
1087;ESPERANTINOPOLIS
1088;CHAPADA
1089;MUCURICI
1090;PARNAMIRIM
1091;PAINS
1092;ALFREDO VASCONCELOS
1093;VALENCA
1094;POCAO
1095;ITABERAI
1096;ELOI MENDES
1097;PATOS
1098;ASTOLFO DUTRA
1099;SCHROEDER
1100;SAO ROBERTO
1101;BARRETOS
1102;AMAJARI
1103;RUSSAS
1104;ALTO SANTO
1105;GRAVATA
1106;CARMO DA MATA
1107;IGARASSU
1108;SANTA ROSA
1109;COLOMBIA
1110;CARMOPOLIS
1111;"""OLHO-D""""AGUA DO BORGES"""
1112;SAO PEDRO
1113;EUCLIDES DA CUNHA PAULISTA
1114;PAULO AFONSO
1115;"""SAO JORGE D""""OESTE"""
1116;PORTO AMAZONAS
1117;DELFIM MOREIRA
1118;SAO MIGUEL ARCANJO
1119;ARIQUEMES
1120;NOVA MAMORE
1121;PORTO CALVO
1122;ALFENAS
1123;JESUITAS
1124;TACIBA
1125;CUITE
1126;DOUTOR SEVERIANO
1127;PEREIRO
1128;PAU DOS FERROS
1129;JOSE DA PENHA
1130;ERERE
1131;MARCELINO VIEIRA
1132;SAO MIGUEL
1133;BASTOS
1134;CANDIBA
1135;SEBASTIAO LARANJEIRAS
1136;GUARAI
1137;FORTALEZA DO TABOCAO
1138;RIO BRANCO DO IVAI
1139;RUBIATABA
1140;IPIRANGA DE GOIAS
1141;SEROPEDICA
1142;RIO PARDO DE MINAS
1143;CAPIXABA
1144;SERRA DO RAMALHO
1145;CARINHANHA
1146;ROSARIO DO IVAI
1147;REDENCAO
1148;IBATE
1149;JABOTICABAL
1150;TABATINGA
1151;PORTAO
1152;ALFREDO MARCONDES
1153;MARABA PAULISTA
1154;SALGADINHO
1155;CORIBE
1156;TUPANCIRETA
1157;BOA VISTA DO INCRA
1158;MACEDONIA
1159;VILHENA
1160;MAR DE ESPANHA
1161;TANQUE DO PIAUI
1162;RIOLANDIA
1163;SABINO
1164;PARANAPANEMA
1165;SAO JOAO BATISTA DO GLORIA
1166;RIO DAS PEDRAS
1167;RUROPOLIS
1168;GOUVEIA
